,wheel,total_sent_score,강성_sent_score,에어로_sent_score,항속성_sent_score
1, ARC 1100,2.18,1.01,5.71,1.68
2, ARC 1400,3.95,-2.42,4.16,0
3, Aviab Adeon,3.04,-0.52,4.69,0.17
4, Aviab AeroX,2.63,0,8.73,1.45
5, Aviab Aldo,4.26,0,14.16,0
6, Aviab Aon,1.72,1.33,0,0
7, Bora Ultra WTO,2.58,-2.07,-4.13,-4.13
8, CADEX 42,2.74,-5.58,8.86,0
9, CADEX 50,2.57,-0.81,7,1.3
10, CADEX 65,2.63,-3.51,6.56,1.41
11, Envy Foundation,-0.59,0,0,0
12, Farsport Eyeante,4.18,-1.8,8.98,0
13, Farsport Hyper,3.22,-4,4,1.43
14, Firecrest,2.3,0,-1.03,0
15, Fulcrum Racing,2.74,-1.2,5.86,0.4
16, Fulcrum Wind,3.32,-7.46,-3.73,0
17, Look WTO,2.89,1.52,3.37,1.96
18, Roval Alpinist,2.91,0.75,2.98,0
19, Roval Rapids,1.86,-3.31,1.18,0.24
20, Vision SC,2.52,1.97,4.44,0
21, elite drive,3.4,1.53,5.25,1.75
22, elite edge,2.55,0,1.8,0
23, elite helix,3.44,7.91,3.95,3.95
24, envy ses,2.71,-1.12,7.82,2.98
25, mavic cosmic,2.21,-0.67,0.33,0.33
26, shimano c50,3.51,2.89,11.08,0
27, shimano c60,2.06,0,9.25,0
28, straw nsw,2.15,-1.96,1.12,3.64
29, vision matron,2.58,3.66,5.28,0.41
30,Bora Ultra WTO,3.16,1.08,8.11,1.62