brand,name,rim depth,inner rim width,outer rim width,weight,price
아비아브,알도,50,21,32,1520,"2,790,000"
아비아브,에이온,50,21,28,1246,"2,350,000"
아비아브,에어로엑스 80,80,21,30,1795,"1,690,000"
아비아브,에어로엑스 60,60,21,31,1370,"1,690,000"
아비아브,에어로엑스 40,40,21,29,1250,"1,690,000"
아비아브,아데온2 50,50,19,26,1560,"800,000"
아비아브,아데온2 35,35,19,26,1440,"800,000"
비전,메트론 60 SL,60,21,33,1590,"3,290,000"
비전,메트론 40 SL,40,19,26,1390,"3,210,000"
비전,SC 55,55,19,26,1680,"1,850,000"
비전,SC 40,40,19,26,1590,"1,770,000"
엘리트,드라이브 65D,65,21,28,1460,"1,690,000"
엘리트,드라이브 50D,60,21,28,1300,"1,690,000"
엘리트,드라이브 40D,40,21,28,1260,"1,690,000"
엘리트,힐릭스 68D,68,21,32,1495,"2,290,000"
엘리트,힐릭스 57D,57,21,32,1420,"2,290,000"
엘리트,힐릭스 46D,46,21,32,1335,"2,290,000"
엘리트,엣지 60,60,21,28,1535,"950,000"
엘리트,엣지 50,50,21,28,1365,"950,000"
파스포츠,하이퍼 X SL5,50,21,30,1230,"1,525,000"
파스포츠,하이퍼 X SL4,45,21,30,1190,"1,525,000"
파스포츠,아이안테 C4 SL,45,19,26,1580,"850,000"
디티 스위스,ARC 1100,62,20,27,1676,"3,750,000"
디티 스위스,ARC 1100,50,20,27,1472,"3,750,000"
디티 스위스,ARC 1400,62,20,27,1753,"2,400,000"
디티 스위스,ARC 1400,48,20,27,1583,"2,400,000"
시마노,c60 듀라에이스,60,21,28,1609,"2,065,000"
시마노,c60 울테그라,60,21,28,1647,"1,365,000"
시마노,c50 듀라에이스,50,21,28,1459,"2,065,000"
시마노,c50 울테그라,50,21,28,1568,"1,365,000"
엔비,ses 4.5,45,25,32,1432,"3,690,000"
엔비,ses 6.7,67,23,30,1457,"3,690,000"
엔비,파운데이션 45,45,21,28,1561,"1,890,000"
엔비,파운데이션 65,65,21,28,1641,"1,890,000"
짚,454 NSW,58,23,28,1358,"5,750,000"
짚,353 NSW,45,25,30,1255,"5,750,000"
짚,404 파이어크레스트,58,23,28,1450,"2,650,000"
짚,303 파이어크레스트,40,25,30,1355,"2,580,000"
캄파뇰로,보라 울트라 WTO 60,60,19,26,1530,"4,990,000"
캄파뇰로,보라 울트라 WTO 45,45,19,26,1425,"4,990,000"
캄파뇰로,보라 WTO 60,60,19,26,1590,"3,590,000"
캄파뇰로,보라 WTO 45,45,19,26,1520,"3,590,000"
펄크럼,윈드 55,55,19,27,1680,"1,790,000"
펄크럼,윈드 40,40,19,27,1555,"1,730,000"
펄크럼,레이싱 스피드 55,55,19,27,1580,"3,100,000"
펄크럼,레이싱 스피드 40,40,19,27,1470,"2,635,000"
로발,래피드 clx 2,51,21,35,1520,"3,500,000"
로발,래피드 cl2,51,21,35,1590,"2,100,000"
로발,알피니스트 clx2,33,21,27,1265,"2,170,000"
로발,알피니스트 cl2,33,21,27,1375,"1,470,000"
케이덱스,케이덱스 42,42,19,23,1327,"3,500,000"
케이덱스,케이덱스 50 울트라,50,22,30,1349,"4,100,000"
케이덱스,케이덱스 65,65,22,26,1501,"3,800,000"
마빅,코스믹 slr 65,65,19,26,1570,"3,890,000"
마빅,코스믹 slr 45,45,19,26,1470,"3,890,000"
마빅,코스믹 sl 65,65,19,26,1750,"1,590,000"
마빅,코스믹 sl 45,45,19,26,1575,"1,590,000"